1JANATAMF,07-08-2012,6.1,6.2,6,6,6.1,103500,4125982,9590,-0.02
1STICB,07-08-2012,850,865,850,857.5,867.5,100,5163278,7872,-0.01
1STPRIMFMF,07-08-2012,9.5,9.6,9.3,9.4,9.4,42000,6637596,7833,0
2NDICB,07-08-2012,301,311.9,300,305,288.6,1450,5351305,9273,0.06
3RDICB,07-08-2012,159.6,159.6,156.8,157.5,151,2100,4410591,3775,0.04
4THICB,07-08-2012,145,148.5,142,144.1,150,1900,6270769,5789,-0.04
5THICB,07-08-2012,136.9,136.9,136,136,143.3,2300,4737353,4099,-0.05
6THICB,07-08-2012,62.4,63,60.8,61.1,62.2,31300,5534155,9400,-0.02
8THICB,07-08-2012,63,63,60,60.6,63.7,20500,6347704,12141,-0.05
AAMRATECH,07-08-2012,20.68,20.98,20.38,20.61,20.45,1537470,6430849,14199,0.01
ABBANK,07-08-2012,28.89,29.07,28.18,28.27,28.53,170213,6865061,13045,-0.01
ACI,07-08-2012,125.08,126.5,123.75,125.08,125,6480,5192870,3570,0
ACIFORMULA,07-08-2012,63.5,64.1,61.5,62,62.9,27000,5549120,8302,-0.01
ACIZCBOND,07-08-2012,792.5,810,792.5,802,808.5,48,6920042,14885,-0.01
ACTIVEFINE,07-08-2012,49.52,50.24,48.24,48.4,49.04,525000,4892360,14866,-0.01
AFTABAUTO,07-08-2012,82.5,84.86,82.5,82.93,83.21,341250,6303552,6082,0
AGNISYSL,07-08-2012,20.73,21.18,20.45,20.45,20.27,112750,5193611,13500,0.01
AGRANINS,07-08-2012,26.36,26.91,25.91,26.27,26.55,69850,5092760,9429,-0.01
AIBL1STIMF,07-08-2012,5.9,5.9,5.5,5.6,5.6,19500,5891547,12769,0
AIMS1STMF,07-08-2012,36.6,37,35.2,35.4,36.3,500250,6339270,9284,-0.02
ALARABANK,07-08-2012,22.31,22.65,21.79,21.88,22.39,195975,6161794,4752,-0.02
AL-HAJTEX,07-08-2012,19.71,19.85,19.64,19.64,19.64,5225,6933913,10756,0
ALLTEX,07-08-2012,7.3,7.5,7.3,7.4,7.2,28000,5925450,4679,0.03
AMBEEPHA,07-08-2012,235,236.5,235,235.7,241.8,1000,6348988,10339,-0.03
AMCL(PRAN),07-08-2012,127,127,123,124.2,123.6,6400,4592355,1580,0
ANLIMAYARN,07-08-2012,17.8,18,17.5,17.6,17.5,57500,4505242,8421,0.01
ANWARGALV,07-08-2012,18.6,18.7,18,18.2,17.6,18500,4543777,13759,0.03
APEXADELFT,07-08-2012,239.2,241,234.9,237.5,240,12400,5245992,8270,-0.01
APEXFOODS,07-08-2012,64.4,64.5,63.8,64.1,64.8,3150,4894661,3479,-0.01
APEXSPINN,07-08-2012,70.5,70.5,66.3,67.2,67.1,1200,5709924,4664,0
APEXTANRY,07-08-2012,87.3,89,85.2,86.2,87.1,26300,6015211,11743,-0.01
ARAMIT,07-08-2012,233.2,233.2,232,232.4,230,2600,5839612,4164,0.01
ARAMITCEM,07-08-2012,36.85,36.85,34.75,35.1,35.8,63000,6741058,11730,-0.02
ASIAINS,07-08-2012,32.86,32.86,31.62,32.19,31.81,72188,6572413,10353,0.01
ASIAPACINS,07-08-2012,31,32,30.6,30.8,30.9,145500,6217292,2724,0
ATLASBANG,07-08-2012,188,189,186,186.8,186.6,11100,6179466,4776,0
AZIZPIPES,07-08-2012,19.2,19.2,18.1,18.4,19,1000,5047065,6384,-0.03
BANGAS,07-08-2012,46.77,47.51,46.77,47.18,46.61,13434,5905435,4822,0.01
BANKASIA,07-08-2012,20.09,20.73,20.09,20.18,20.09,130900,5834576,7605,0
BATASHOE,07-08-2012,481.2,499,481.2,491.7,484.3,700,4320840,10327,0.02
BATBC,07-08-2012,645,650,645,648.9,644.8,4950,6963082,14936,0.01
BAYLEASING,07-08-2012,38.9,39,37.6,37.6,37.7,108500,6085647,9624,0
BDAUTOCA,07-08-2012,31,31.8,30.7,31.2,30.5,5650,5368381,12729,0.02
BDCOM,07-08-2012,15.21,15.29,14.96,15.04,14.88,52635,4031061,14450,0.01
BDFINANCE,07-08-2012,32.6,32.6,31,31,31.9,141900,4435793,12861,-0.03
BDLAMPS,07-08-2012,126.3,127.4,125.2,125.6,125.8,8200,5421547,6503,0
BDTHAI,07-08-2012,28,28.38,27.43,27.43,27.43,126945,6817649,1891,0
BDWELDING,07-08-2012,22.76,22.86,21.81,21.81,22.38,138600,5057115,9006,-0.03
BEACHHATCH,07-08-2012,19,19.27,18.73,18.91,18.45,187550,4187502,9020,0.02
BEACONPHAR,07-08-2012,17.8,18.5,17.8,17.9,17.9,754500,4397761,6454,0
BEDL,07-08-2012,33.84,34.24,33.14,33.37,33.14,902563,5196472,8926,0.01
BERGERPBL,07-08-2012,505,505,490.5,500.6,490.2,550,5741328,5815,0.02
BEXIMCO,07-08-2012,52.35,52.35,50.35,50.43,51.48,837660,5584103,11381,-0.02
BGIC,07-08-2012,29.4,30.8,29.4,30,29.4,326100,5749322,14541,0.02
BIFC,07-08-2012,26.36,27.09,25.82,25.91,25.91,81950,4787347,11847,0
BRACBANK,07-08-2012,22.52,22.52,21.77,21.92,22.15,680009,5032496,13403,-0.01
BRACSCBOND,07-08-2012,1065,1065,1065,1065,1062,15,4369437,9222,0
BSC,07-08-2012,217.25,223,217.25,218.75,218.75,5090,4010303,11366,0
BSCCL,07-08-2012,64.9,69.09,63.87,68.62,64.9,3361611,6775847,12030,0.06
BSRMSTEEL,07-08-2012,68.1,68.57,67.62,67.81,66.76,116025,5345136,6597,0.02
BXPHARMA,07-08-2012,44.52,44.78,43.48,43.65,43.74,319470,6023881,12026,0
BXSYNTH,07-08-2012,19.45,19.73,18.73,18.91,19.09,273460,6298071,11897,-0.01
CENTRALINS,07-08-2012,33.04,33.84,32.68,33.13,32.95,62272,5033491,4427,0.01
CITYBANK,07-08-2012,23.18,23.18,22.55,22.64,22.73,401280,5734203,3793,0
CITYGENINS,07-08-2012,28.55,30.45,28.55,29.73,28.45,736670,5497985,12175,0.04
CMCKAMAL,07-08-2012,18.52,18.61,17.83,17.83,18.09,511520,4055545,9113,-0.01
CONFIDCEM,07-08-2012,102.7,106,102.6,102.9,102.4,136420,5113959,12329,0
CONTININS,07-08-2012,32.2,32.9,31.6,31.8,31.6,132500,6960885,5359,0.01
CVOPRL,07-08-2012,166.67,172.08,166.5,168.25,163.17,56640,5831313,12165,0.03
DACCADYE,07-08-2012,28.49,28.81,27.6,27.84,27.76,384384,5436906,3985,0
DAFODILCOM,07-08-2012,14.6,14.6,14.1,14.2,14.2,74500,5347831,13499,0
DBH,07-08-2012,78,78.9,77.9,78,77.8,18500,4949853,10924,0
DBH1STMF,07-08-2012,6.3,6.3,5.9,6,6.1,100000,6649257,7452,-0.02
DELTALIFE,07-08-2012,155.76,157.2,154.2,155.64,155.59,80520,5090257,6503,0
DELTASPINN,07-08-2012,16.4,16.53,15.93,16,16,172800,4396371,10095,0
DESCO,07-08-2012,62,62.91,61.78,61.93,61.4,297563,5100073,14803,0.01
DESHBANDHU,07-08-2012,24.86,26.29,24.86,25.05,24.48,340200,5624142,2065,0.02
DHAKABANK,07-08-2012,21.47,21.47,19.57,19.66,19.57,79460,5698197,12381,0
DHAKAINS,07-08-2012,58,58.1,55.5,56,57.5,99500,6920837,14413,-0.03
DSHGARME,07-08-2012,30.1,30.4,30,30.1,30.2,10900,5434691,12917,0
DULAMIACOT,07-08-2012,8.8,8.8,8.8,8.8,8.6,6300,6138036,6046,0.02
DUTCHBANGL,07-08-2012,103.3,104,103,103,104.8,21500,6091468,2525,-0.02
EASTERNINS,07-08-2012,41,41.7,40.1,40.4,39.9,19000,4098017,3325,0.01
EASTLAND,07-08-2012,54.62,56,54.15,55,54.38,174720,6041973,9588,0.01
EASTRNLUB,07-08-2012,282.1,282.2,282.1,282.1,282,1050,5318475,13124,0
EBL,07-08-2012,31.1,32.4,31.1,31.5,31.7,85600,4746994,6462,-0.01
EBL1STMF,07-08-2012,9.5,9.6,9.4,9.4,9.4,315500,6112904,8299,0
EBLNRBMF,07-08-2012,7.2,7.2,7.2,7.2,7.2,1000,4904089,10437,0
EHL,07-08-2012,47.89,48.21,46.92,47.16,47.08,102749,5147484,3835,0
EXIMBANK,07-08-2012,15.27,15.36,14.82,14.91,15.18,636900,6518648,5253,-0.02
FAREASTLIF,07-08-2012,104.35,105.04,103.48,104.17,104.35,82915,4780441,6068,0
FASFIN,07-08-2012,13.02,13.16,12.78,12.83,12.83,59360,4440855,2713,0
