DHAKABANK,04-08-2008,15.84,16.4,15.84,15.94,19.3,198745,4267905,1752,-0.17
DUTCHBANGL,04-08-2008,131.83,131.87,130.33,131.02,8.1,41496,6592673,6111,15.18
EASTERNINS,04-08-2008,14.7,14.8,14.68,14.74,9.9,12197,4462593,14151,0.49
EASTLAND,04-08-2008,28.28,29.57,27.91,28.01,40.8,477369,5446457,11090,-0.31
EASTRNLUB,04-08-2008,392.5,430,391,414.2,49.3,550,6538220,6668,7.4
EBL,04-08-2008,22.93,23.01,22.82,22.88,463.9,64633,4648842,10610,-0.95
ECABLES,04-08-2008,58.5,60.2,58.3,59.28,7.5,34300,4454544,6330,6.9
EHL,04-08-2008,24.66,24.66,23.34,23.94,128.2,536327,4376277,11545,-0.81
EXIMBANK,04-08-2008,7.59,7.67,7.57,7.61,7.8,723505,5568643,13582,-0.02
FAREASTLIF,04-08-2008,57.26,57.47,55.33,55.74,14.1,312429,6524754,2306,2.95
FASFIN,04-08-2008,8.84,9.17,8.57,8.82,112,420975,4702603,3733,-0.92
FEDERALINS,04-08-2008,7.51,7.51,7.46,7.48,9.7,33071,5178971,13259,-0.23
FINEFOODS,04-08-2008,4.76,4.76,4.69,4.69,26.6,6807,6768997,8256,-0.82
FLEASEINT,04-08-2008,10.88,10.98,10.7,10.86,14.2,106641,4182227,5820,-0.24
FUWANGCER,04-08-2008,8.84,8.84,7.89,8.02,30.5,264425,6012854,11902,-0.74
FUWANGFOOD,04-08-2008,8.32,8.32,8.05,8.08,17.9,480480,4222809,10324,-0.55
GLAXOSMITH,04-08-2008,251,254,246,248.2,54.7,15100,5410894,12372,3.54
GLOBALINS,04-08-2008,15.03,15.37,13.82,14.57,1226,79008,6190223,12572,-0.99
GOLDENSON,04-08-2008,7.96,8.02,7.7,7.77,30.3,458193,4292348,4501,-0.74
GQBALLPEN,04-08-2008,75.23,77.55,72.97,74.53,54.9,47779,6512268,3559,0.36
GRAMEEN1,04-08-2008,67.33,78,62.67,76.27,155.5,1923750,6501966,5269,-0.51
GREENDELT,04-08-2008,78.3,78.3,76.17,76.57,6.2,139438,4574162,4308,11.35
HEIDELBCEM,04-08-2008,131,131.4,127.6,128.4,31.9,68950,4205168,3316,3.03
HRTEX,04-08-2008,10.09,10.09,9.96,10.02,7.9,5175,4109783,7599,0.27
IBBLPBOND,04-08-2008,911,918,902,904.25,35,7700,6002330,13568,24.84
IBNSINA,04-08-2008,45.65,45.65,45.56,45.6,984.5,3672,5209855,14732,-0.95
ICB,04-08-2008,444.45,450.14,429.04,442.96,118.9,5695,5930112,11020,2.73
ICB1STNRB,04-08-2008,30,31.5,29.5,31.2,1665.5,159500,3992501,12499,-0.98
ICB2NDNRB,04-08-2008,16,16.9,15.32,16.55,28.2,2923500,5080157,7798,-0.41
ICBIBANK,04-08-2008,16.08,16.35,15.61,15.66,6.3,418500,6231382,14226,1.49
ICBISLAMIC,04-08-2008,30.9,31.6,30.1,31.35,5.9,98000,5391972,4575,4.31
IDLC,04-08-2008,34.03,34.85,32.98,33.52,9,315315,6540834,10996,2.72
IFIC,04-08-2008,41.58,42.11,40.35,40.54,76.5,335269,4879240,9220,-0.47
ILFSL,04-08-2008,12.82,12.82,12.04,12.42,6.9,311896,6625080,7551,0.8
IMAMBUTTON,04-08-2008,13.86,14.27,13.86,14.16,16,2200,5664132,8530,-0.12
INTECH,04-08-2008,13.66,13.91,13.6,13.72,8.6,111125,4355227,12103,0.6
IPDC,04-08-2008,24.66,24.73,23.7,23.84,15.7,262806,5871890,12860,0.52
ISLAMIBANK,04-08-2008,19.19,19.23,18.74,18.81,19.5,1700110,5405764,10966,-0.04
ISLAMICFIN,04-08-2008,9.5,9.5,9.12,9.17,34.9,303756,6589400,7118,-0.74
ISNLTD,04-08-2008,21.36,21.51,20.99,21.29,32.7,114726,5036635,2599,-0.35
JAMUNABANK,04-08-2008,9.49,9.89,9.49,9.77,18.9,89767,4874783,3018,-0.48
