1JANATAMF,05-08-2012,6.2,6.2,6.1,6.1,6.1,57000,4576985,6446,0
1STICB,05-08-2012,834.8,865,832,846.7,828.7,1600,5709102,4383,0.02
1STPRIMFMF,05-08-2012,9.4,9.5,9.4,9.4,9.4,86500,5670519,1970,0
2NDICB,05-08-2012,284,284,282.5,283.4,280,800,5873276,5390,0.01
3RDICB,05-08-2012,160,160,155,155.7,157.2,2000,6557263,11022,-0.01
4THICB,05-08-2012,152,152,148.5,150,146.6,1700,6536561,2106,0.02
5THICB,05-08-2012,152,154,145,153.5,145.9,9600,5454333,10210,0.05
6THICB,05-08-2012,65.9,66,63.7,65.3,65.4,91400,6495632,11602,0
7THICB,05-08-2012,89.2,89.2,89,89,89,2500,6268122,1944,0
8THICB,05-08-2012,65.5,65.6,63.6,65.2,63.2,36500,5159151,9506,0.03
AAMRATECH,05-08-2012,18.64,20.15,18.48,19.77,18.48,1984950,4633956,7222,0.07
ABBANK,05-08-2012,28.62,29.24,28.27,28.44,29.24,249300,4050983,6570,-0.03
ACI,05-08-2012,125.08,125.17,125,125,125.33,4200,6427621,13074,0
ACIFORMULA,05-08-2012,62.5,63.5,61.5,62.1,63.9,28100,5615501,4329,-0.03
ACIZCBOND,05-08-2012,805,810,802,805.5,809.5,87,5208536,11841,0
ACTIVEFINE,05-08-2012,48,48.72,47.36,47.6,48.16,375625,4744543,13126,-0.01
AFTABAUTO,05-08-2012,83.57,83.57,81.57,81.79,82.86,222180,6207163,3210,-0.01
AGNISYSL,05-08-2012,20.18,20.45,19.91,19.91,20.09,107800,6720779,8307,-0.01
AGRANINS,05-08-2012,26.18,26.27,26.18,26.18,26.45,2750,6315035,7369,-0.01
AIBL1STIMF,05-08-2012,5.6,5.6,5.6,5.6,5.6,1000,4675620,1890,0
AIMS1STMF,05-08-2012,33.8,36.5,33.8,35.9,33.7,755000,6249341,7661,0.07
ALARABANK,05-08-2012,22.56,22.56,22.14,22.22,22.56,245993,5704422,3929,-0.02
AL-HAJTEX,05-08-2012,19.2,19.2,19.13,19.13,19.42,2475,5664613,9343,-0.01
ALLTEX,05-08-2012,7.3,7.4,7.1,7.2,7.3,68000,6863987,3654,-0.01
AMBEEPHA,05-08-2012,231.3,231.3,230.2,230.9,236,550,6194520,4792,-0.02
AMCL(PRAN),05-08-2012,120.1,120.1,120,120,123.3,700,3991666,9228,-0.03
ANLIMAYARN,05-08-2012,17.3,17.5,17.2,17.3,17.4,17000,4443636,13326,-0.01
ANWARGALV,05-08-2012,17.7,17.7,17.3,17.4,17.7,6500,4538873,9552,-0.02
APEXADELFT,05-08-2012,235.5,236.9,235.2,235.6,237.1,2400,5302174,3014,-0.01
